Run	BioSample	Species	LibraryType	Group
SRR18054862	SAMN26000644	Abeliophyllum_distichum		
SRR18497216	SAMN26992935	Abeliophyllum_distichum		
SRR28361932	SAMN40410506	Abeliophyllum_distichum		
SRR8707038	SAMN11026391	Acer_yangbiense		
SRR12721041	SAMN16276461	Acer_yangbiense		
SRR12721040	SAMN16276462	Acer_yangbiense		
SRR12721129	SAMN16276463	Acer_yangbiense		
SRR12721118	SAMN16276464	Acer_yangbiense		
SRR12721107	SAMN16276465	Acer_yangbiense		
SRR12721096	SAMN16276466	Acer_yangbiense		
SRR12721085	SAMN16276467	Acer_yangbiense		
SRR12721074	SAMN16276468	Acer_yangbiense		
SRR12721063	SAMN16276469	Acer_yangbiense		
SRR12721052	SAMN16276470	Acer_yangbiense		
SRR12721039	SAMN16276471	Acer_yangbiense		
SRR12721138	SAMN16276472	Acer_yangbiense		
SRR12721137	SAMN16276473	Acer_yangbiense		
SRR12721136	SAMN16276474	Acer_yangbiense		
SRR12721135	SAMN16276475	Acer_yangbiense		
SRR12721134	SAMN16276476	Acer_yangbiense		
SRR12721133	SAMN16276477	Acer_yangbiense		
SRR12721132	SAMN16276478	Acer_yangbiense		
SRR12721131	SAMN16276479	Acer_yangbiense		
SRR12721130	SAMN16276480	Acer_yangbiense		
SRR12721128	SAMN16276481	Acer_yangbiense		
SRR12721127	SAMN16276482	Acer_yangbiense		
SRR12721126	SAMN16276483	Acer_yangbiense		
SRR12721125	SAMN16276484	Acer_yangbiense		
SRR12721124	SAMN16276485	Acer_yangbiense		
SRR12721123	SAMN16276486	Acer_yangbiense		
SRR12721122	SAMN16276487	Acer_yangbiense		
SRR12721121	SAMN16276488	Acer_yangbiense		
SRR12721120	SAMN16276489	Acer_yangbiense		
SRR12721119	SAMN16276490	Acer_yangbiense		
SRR12721117	SAMN16276491	Acer_yangbiense		
SRR12721116	SAMN16276492	Acer_yangbiense		
SRR12721115	SAMN16276493	Acer_yangbiense		
SRR12721114	SAMN16276494	Acer_yangbiense		
SRR12721113	SAMN16276495	Acer_yangbiense		
SRR12721112	SAMN16276496	Acer_yangbiense		
SRR12721111	SAMN16276497	Acer_yangbiense		
SRR12721110	SAMN16276498	Acer_yangbiense		
SRR12721109	SAMN16276499	Acer_yangbiense		
SRR12721108	SAMN16276500	Acer_yangbiense		
SRR12721106	SAMN16276501	Acer_yangbiense		
SRR12721105	SAMN16276502	Acer_yangbiense		
SRR12721104	SAMN16276503	Acer_yangbiense		
SRR12721103	SAMN16276504	Acer_yangbiense		
SRR12721102	SAMN16276505	Acer_yangbiense		
SRR12721101	SAMN16276506	Acer_yangbiense		
SRR12721100	SAMN16276507	Acer_yangbiense		
SRR12721099	SAMN16276508	Acer_yangbiense		
SRR12721098	SAMN16276509	Acer_yangbiense		
SRR12721097	SAMN16276510	Acer_yangbiense		
SRR12721095	SAMN16276511	Acer_yangbiense		
SRR12721094	SAMN16276512	Acer_yangbiense		
SRR12721093	SAMN16276513	Acer_yangbiense		
SRR12721092	SAMN16276514	Acer_yangbiense		
SRR12721091	SAMN16276515	Acer_yangbiense		
SRR12721090	SAMN16276516	Acer_yangbiense		
SRR12721089	SAMN16276517	Acer_yangbiense		
SRR12721088	SAMN16276518	Acer_yangbiense		
SRR12721087	SAMN16276519	Acer_yangbiense		
SRR12721086	SAMN16276520	Acer_yangbiense		
SRR12721084	SAMN16276521	Acer_yangbiense		
SRR12721083	SAMN16276522	Acer_yangbiense		
SRR12721082	SAMN16276523	Acer_yangbiense		
SRR12721081	SAMN16276524	Acer_yangbiense		
SRR12721080	SAMN16276525	Acer_yangbiense		
SRR12721079	SAMN16276526	Acer_yangbiense		
SRR12721078	SAMN16276527	Acer_yangbiense		
SRR12721077	SAMN16276528	Acer_yangbiense		
SRR12721076	SAMN16276529	Acer_yangbiense		
SRR12721075	SAMN16276530	Acer_yangbiense		
SRR12721073	SAMN16276531	Acer_yangbiense		
SRR12721072	SAMN16276532	Acer_yangbiense		
SRR12721071	SAMN16276533	Acer_yangbiense		
SRR12721070	SAMN16276534	Acer_yangbiense		
SRR12721069	SAMN16276535	Acer_yangbiense		
SRR12721068	SAMN16276536	Acer_yangbiense		
SRR12721067	SAMN16276537	Acer_yangbiense		
SRR12721066	SAMN16276538	Acer_yangbiense		
SRR12721065	SAMN16276539	Acer_yangbiense		
SRR12721064	SAMN16276540	Acer_yangbiense		
SRR12721062	SAMN16276541	Acer_yangbiense		
SRR12721061	SAMN16276542	Acer_yangbiense		
SRR12721060	SAMN16276543	Acer_yangbiense		
SRR12721059	SAMN16276544	Acer_yangbiense		
SRR12721058	SAMN16276545	Acer_yangbiense		
SRR12721057	SAMN16276546	Acer_yangbiense		
SRR12721056	SAMN16276547	Acer_yangbiense		
SRR12721055	SAMN16276548	Acer_yangbiense		
SRR12721054	SAMN16276549	Acer_yangbiense		
SRR12721053	SAMN16276550	Acer_yangbiense		
SRR12721051	SAMN16276551	Acer_yangbiense		
SRR12721050	SAMN16276552	Acer_yangbiense		
SRR12721049	SAMN16276553	Acer_yangbiense		
SRR12721048	SAMN16276554	Acer_yangbiense		
SRR12721047	SAMN16276555	Acer_yangbiense		
SRR12721046	SAMN16276556	Acer_yangbiense		
SRR12721045	SAMN16276557	Acer_yangbiense		
SRR12721044	SAMN16276558	Acer_yangbiense		
SRR12721043	SAMN16276559	Acer_yangbiense		
SRR12721042	SAMN16276560	Acer_yangbiense		
SRR12721038	SAMN16276561	Acer_yangbiense		
SRR12721142	SAMN16276562	Acer_yangbiense		
SRR12721141	SAMN16276563	Acer_yangbiense		
SRR12721140	SAMN16276564	Acer_yangbiense		
SRR12721139	SAMN16276565	Acer_yangbiense		
ERR359707	SAMEA2242590	Aegilops_sharonensis		
ERR359708	SAMEA2242590	Aegilops_sharonensis		
ERR359709	SAMEA2242590	Aegilops_sharonensis		
ERR359710	SAMEA2242590	Aegilops_sharonensis		
ERR359711	SAMEA2242590	Aegilops_sharonensis		
ERR359712	SAMEA2242590	Aegilops_sharonensis		
ERR6184187	SAMEA7302707	Aegilops_sharonensis		
ERR6184189	SAMEA7302709	Aegilops_sharonensis		
ERR6184191	SAMEA7302711	Aegilops_sharonensis		
ERR6184193	SAMEA7302713	Aegilops_sharonensis		
ERR6184194	SAMEA7302714	Aegilops_sharonensis		
ERR6184195	SAMEA7302715	Aegilops_sharonensis		
ERR6184196	SAMEA7302716	Aegilops_sharonensis		
ERR6184197	SAMEA7302717	Aegilops_sharonensis		
ERR6184169	SAMEA7302719	Aegilops_sharonensis		
ERR6184170	SAMEA7302720	Aegilops_sharonensis		
ERR6184171	SAMEA7302721	Aegilops_sharonensis		
ERR6184174	SAMEA7302724	Aegilops_sharonensis		
ERR6184175	SAMEA7302725	Aegilops_sharonensis		
ERR6184176	SAMEA7302726	Aegilops_sharonensis		
ERR6184179	SAMEA7302729	Aegilops_sharonensis		
ERR6184180	SAMEA7302730	Aegilops_sharonensis		
SRR14627574	SAMN17832325	Aegilops_sharonensis		
DRR520119	SAMD00724975	Aegle_marmelos		
SRR16998512	SAMN23379527	Aegle_marmelos		
SRR26310427	SAMN34270147	Agave_karwinskii		
SRR35007214	SAMN50010308	Agave_karwinskii		
SRR35007215	SAMN50010308	Agave_karwinskii		
ERR2103731	SAMEA104225642	Alnus_glutinosa		
ERR6688530	SAMEA7522125	Alnus_glutinosa		
SRR5279623	SAMN06393017	Alnus_glutinosa		
SRR5279624	SAMN06393018	Alnus_glutinosa		
SRR5279625	SAMN06393019	Alnus_glutinosa		
SRR5279626	SAMN06393020	Alnus_glutinosa		
SRR5282250	SAMN06393021	Alnus_glutinosa		
SRR5282253	SAMN06393022	Alnus_glutinosa		
SRR5282264	SAMN06393023	Alnus_glutinosa		
SRR5282265	SAMN06393024	Alnus_glutinosa		
SRR17214828	SAMN23970724	Alnus_glutinosa		
SRR8892930	SAMN11412194	Aquilaria_sinensis		
SRR24424215	SAMN11478985	Aquilaria_sinensis		
SRR24424201	SAMN11478993	Aquilaria_sinensis		
SRR24424276	SAMN11479048	Aquilaria_sinensis		
SRR24424134	SAMN11479049	Aquilaria_sinensis		
SRR24424133	SAMN11479050	Aquilaria_sinensis		
SRR24424130	SAMN11479053	Aquilaria_sinensis		
SRR24424054	SAMN11479059	Aquilaria_sinensis		
SRR24424053	SAMN11479060	Aquilaria_sinensis		
SRR24424144	SAMN11479065	Aquilaria_sinensis		
SRR24424143	SAMN11479066	Aquilaria_sinensis		
SRR24424142	SAMN11479067	Aquilaria_sinensis		
SRR24423995	SAMN11479069	Aquilaria_sinensis		
SRR24424282	SAMN11479071	Aquilaria_sinensis		
SRR24424118	SAMN11479076	Aquilaria_sinensis		
SRR24424104	SAMN11479077	Aquilaria_sinensis		
SRR24424102	SAMN11479079	Aquilaria_sinensis		
SRR24424100	SAMN11479080	Aquilaria_sinensis		
SRR24424265	SAMN11479097	Aquilaria_sinensis		
SRR24424165	SAMN11479107	Aquilaria_sinensis		
SRR24424079	SAMN11479121	Aquilaria_sinensis		
SRR24424078	SAMN11479122	Aquilaria_sinensis		
SRR10737433	SAMN12777232	Aquilaria_sinensis		
SRR12825734	SAMN16131995	Aquilaria_sinensis		
SRR12825745	SAMN16131995	Aquilaria_sinensis		
SRR12825756	SAMN16131995	Aquilaria_sinensis		
SRR12825757	SAMN16131995	Aquilaria_sinensis		
SRR12825758	SAMN16131995	Aquilaria_sinensis		
SRR12825759	SAMN16131995	Aquilaria_sinensis		
SRR12825760	SAMN16131995	Aquilaria_sinensis		
SRR12825761	SAMN16131995	Aquilaria_sinensis		
SRR12825762	SAMN16131995	Aquilaria_sinensis		
SRR12825763	SAMN16131995	Aquilaria_sinensis		
SRR12825764	SAMN16131995	Aquilaria_sinensis		
SRR12825765	SAMN16131995	Aquilaria_sinensis		
SRR12825766	SAMN16131995	Aquilaria_sinensis		
SRR12825767	SAMN16131995	Aquilaria_sinensis		
SRR12825768	SAMN16131995	Aquilaria_sinensis		
SRR12825769	SAMN16131995	Aquilaria_sinensis		
SRR12825770	SAMN16131995	Aquilaria_sinensis		
SRR12825771	SAMN16131995	Aquilaria_sinensis		
SRR12825772	SAMN16131995	Aquilaria_sinensis		
SRR12825773	SAMN16131995	Aquilaria_sinensis		
SRR12825774	SAMN16131995	Aquilaria_sinensis		
SRR12825775	SAMN16131995	Aquilaria_sinensis		
SRR12825776	SAMN16131995	Aquilaria_sinensis		
SRR12825779	SAMN16131995	Aquilaria_sinensis		
SRR12825799	SAMN16131995	Aquilaria_sinensis		
SRR12825811	SAMN16131995	Aquilaria_sinensis		
SRR12825822	SAMN16131995	Aquilaria_sinensis		
