"phylo_name","Avg_Val_het","Avg_Val_pi","populationEstimate","IUCN_ExtentOfOccurrence_km2","genome_size","Assembly Stats Contig N50","Assembly Stats Scaffold N50","height_clean","diaspore_seed_length","bioclim_BIO1_weighted_bioclim.x","bioclim_BIO2_weighted_bioclim.x","bioclim_BIO3_weighted_bioclim.x","bioclim_BIO4_weighted_bioclim.x","bioclim_BIO5_weighted_bioclim.x","bioclim_BIO6_weighted_bioclim.x","bioclim_BIO7_weighted_bioclim.x","bioclim_BIO8_weighted_bioclim.x","bioclim_BIO9_weighted_bioclim.x","bioclim_BIO10_weighted_bioclim.x","bioclim_BIO11_weighted_bioclim.x","bioclim_BIO12_weighted_bioclim.x","bioclim_BIO13_weighted_bioclim.x","bioclim_BIO14_weighted_bioclim.x","bioclim_BIO15_weighted_bioclim.x","bioclim_BIO16_weighted_bioclim.x","bioclim_BIO17_weighted_bioclim.x","bioclim_BIO18_weighted_bioclim.x","bioclim_BIO19_weighted_bioclim.x","ssd_wood_density","centroid_x","centroid_y","scientificName","redlistCategory","redlistCriteria","realm","scopes","IUCN_AreaOfOccupancy_km2","IUCN_PopulationTrend","IUCN_HabitatSystems","status","extracted_criteria","broad_code","sexual_reproduction","diaspore_seed_type","diaspore_dispersal_type","diaspore_accessory_type","pollination_self_compat","pollination_mating_mode","pollination_vector","seed_traits_clade","seed_traits_sex","life_strat_clean","final_area_km2","area_source","centroid_method","cleaned_lifecycle","true_area_km2","log10_area","Climate_PC1","iucn_bin","abs_lat","area_numeric","phylo_binomial","join_key","ssd_new","ssd_merged","ssd_source","PC1_kj","PC2_kj","PC3_kj","PC1","PC2","BIOME","ECO_NAME","biome_name","biome_group"
"Abeliophyllum_distichum",0.00477018,NA,4000,27460,795717758,334701,53115898,NA,NA,9.3238959240265,10.2412091107701,27.2341415142966,1020.70404854691,26.8582873203822,-10.7561614755613,37.6144489553235,21.1724672156211,-3.57858854921784,21.4084592400645,-3.78673263893418,1084.80525648413,267.259502403843,18.3184445719232,90.5905543152769,628.403084898601,64.3367793822361,621.531355621547,64.744742801874,NA,127.741512429435,38.468315986344,"Abeliophyllum distichum","Endangered","B2ab(iii)","Palearctic","Global","72","Decreasing","Terrestrial","EN","B2","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27460,"EOO","native_plus_maxent",NA,0.02746,4.43870053290074,0.0474916623533602,1,38.468315986344,27460,"Abeliophyllum_distichum","Abeliophyllum distichum",NA,NA,"missing",-2.88104017110972,-1.59305103892023,3.66708508819953,-2.88104017110972,-1.59305103892023,4,"Central Korean deciduous forests","Temperate Broadleaf & Mixed","Temperate"
"Acanthochlamys_bracteata",0.00123598,NA,6250.5,111300,197965679,6235925,8637207,NA,NA,8.45851615256254,11.005201427333,39.8193360683285,625.618908552686,20.9942911885725,-6.97175550249208,27.9660467068276,15.2219673480243,1.15581568754384,15.7035090532173,0.397251503004835,855.150951620996,169.787910564597,9.72753904447032,84.1659554885935,453.773166146433,37.3204492765844,445.609124612233,40.8946622906468,NA,99.8041975748781,28.6092390873041,"Acanthochlamys bracteata","Vulnerable","C2a(i)","Palearctic","Global",NA,"Decreasing","Terrestrial","VU","C2","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111300,"EOO","native_plus_maxent",NA,0.1113,5.04649516433471,0.775428790123484,1,28.6092390873041,111300,"Acanthochlamys_bracteata","Acanthochlamys bracteata",NA,NA,"missing",-3.23099197515298,-0.282053759444517,0.943424372294385,-3.23099197515298,-0.282053759444517,5,"Hengduan Mountains subalpine conifer forests","Temperate Coniferous","Temperate"
"Acer_yangbiense",0.0018552870754717,0.002832652,413.5,218,664928911,5864378,44917698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.789197465115,28.5252608479408,"Acer yangbiense","Endangered","C2a(i,ii)","Palearctic","Global","56","Decreasing","Terrestrial","EN","C2","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,"EOO","native_only",NA,0.000218,2.3384564936046,NA,1,28.5252608479408,218,"Acer_yangbiense","Acer yangbiense",NA,NA,"missing",NA,NA,NA,NA,NA,1,"Guizhou Plateau broadleaf and mixed forests","Tropical Moist Broadleaf","Tropical"
"Acorus_gramineus",0.01137634,NA,NA,NA,NA,NA,NA,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acorus gramineus","Least Concern",NA,"Indomalayan","Global",NA,"Unknown","Terrestrial; Freshwater (=Inland waters)","LC","","",NA,"seed","wind","none","self compatible","mixed","insects","Angiosperm","hermaphrodite","perennial",NA,NA,NA,"Perennial",NA,NA,NA,0,NA,NA,"Acorus_gramineus","Acorus gramineus",NA,NA,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops_sharonensis",7.63046555555556e-05,0.000282462,NA,3127,6704676607,13123,867619200,NA,NA,19.3634713604388,9.55435284096387,41.3434597288295,535.766222489005,30.7257303472314,7.62656923915957,23.0991609298472,12.7015605024268,25.2944089910264,25.7054483351367,12.701395269484,549.62324043646,139.850420182864,0,114.340992427987,364.138713529146,0.00039246778807123,0.969163469130793,364.138303936055,NA,34.8883813550537,32.2878280719914,"Aegilops sharonensis","Vulnerable","A3c","Palearctic","Global & Mediterranean","256","Decreasing","Terrestrial","VU","A3","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3127,"EOO","native_plus_maxent","Annual",0.003127,3.49512788124293,3.2865134236576,1,32.2878280719914,3127,"Aegilops_sharonensis","Aegilops sharonensis",NA,NA,"missing",0.239194520069212,2.76006397671946,-0.227881768412471,0.239194520069212,2.76006397671946,12,"Eastern Mediterranean conifer-sclerophyllous-broadleaf forests","Mediterranean Shrublands","Mediterranean"
"Aegle_marmelos",0.00430694,NA,NA,2820396,276878671,24400,19546670,10,NA,25.0150638395851,11.6432140412523,45.816029906416,446.898593550501,37.5827527797297,11.370532763299,26.2122200232629,26.4355574569263,22.6642716993279,30.2316545494106,19.1425884702123,1232.89216752605,343.429800703195,4.39773195745808,115.876245448163,834.941457437064,24.8206179371929,307.256610063151,100.381225714204,0.825728,78.9635867787419,21.6455314054088,"Aegle marmelos","Near Threatened","A2acd","Indomalayan","Global",NA,"Decreasing","Terrestrial","NT","A2","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2820396,"EOO","native_plus_maxent","Perennial",2.820396,6.45031009007139,2.46256506075009,1,21.6455314054088,2820396,"Aegle_marmelos","Aegle marmelos",NA,0.825728,"original_only",3.46570963186441,1.88584704272008,3.11855097921362,3.46570963186441,1.88584704272008,1,"Eastern highlands moist deciduous forests","Tropical Moist Broadleaf","Tropical"
"Aesculus_hippocastanum",0.00266697,NA,7000,NA,513587473,2092002,25744433,25.65625,NA,11.0351591150585,10.2957772300747,34.1242568363821,744.733143602066,27.3410151519983,-2.77961951366767,30.1206346912177,10.7375571916188,13.2527874230092,20.124957401536,1.8811858844898,726.141800070113,95.5990804327273,31.5494555197403,35.7736396045237,257.339255769271,107.185402829366,146.698103177173,200.767099127279,0.586530701891822,26.2632113645355,41.6159720573477,"Aesculus hippocastanum","Vulnerable","C2a(i)","Palearctic","Global & Europe",NA,"Decreasing","Terrestrial","VU","C2","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EOO","native_plus_maxent","Perennial",NA,NA,-0.454120906219668,1,41.6159720573477,NA,"Aesculus_hippocastanum","Aesculus hippocastanum",NA,0.586530701891822,"original_only",-3.07116334491363,-0.232086121638186,-0.955061750799551,-3.07116334491363,-0.232086121638186,4,"Balkan mixed forests","Temperate Broadleaf & Mixed","Temperate"
"Alnus_glutinosa",0.00431249,0.003826654,NA,NA,NA,NA,NA,21.51884921,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alnus glutinosa","Least Concern",NA,"Palearctic","Global",NA,"Stable","Terrestrial","LC","","",NA,"nutlet","wind","wing","self incompatible","outcrossing","wind","Angiosperm","monoecious","perennial",NA,NA,NA,"Perennial",NA,NA,NA,0,NA,NA,"Alnus_glutinosa","Alnus glutinosa",NA,NA,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus_titanum",0.00564608,NA,NA,156000,942822506,626248,15369906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.467211986885,-0.364754458901617,"Amorphophallus titanum","Endangered","A2ac; C2a(i); D","Indomalayan","Global","144","Decreasing","Terrestrial","EN","A2; C2","A; C; D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156000,"EOO","native_only",NA,0.156,5.19312459835446,NA,1,0.364754458901617,156000,"Amorphophallus_titanum","Amorphophallus titanum",NA,NA,"missing",NA,NA,NA,NA,NA,1,"Sumatran lowland rain forests","Tropical Moist Broadleaf","Tropical"
"Angophora_floribunda",0.00701211,NA,NA,1106392.84,388206676,4016327,36024908,16.4,6.5,15.8746254925575,11.0615558183614,48.0914011929779,443.540348628839,27.1624414620079,4.22210759949776,22.9403339690132,20.5702628057415,11.6114461022561,21.1633136035498,10.1669984360236,961.127141810918,125.057529214794,45.783451897959,30.3864355170382,335.329902437075,158.36373389723,310.245758208141,178.162079599806,0.72512,150.844954492151,-32.6099411280313,"Angophora floribunda","Near Threatened","A2c","Australasian","Global","1820","Stable","Terrestrial","NT","A2","A",NA,"seed","wind","none",NA,NA,"bee","Angiosperm","hermaphrodite","perennial",1106392.84,"EOO","native_plus_maxent","Perennial",1.10639284,6.04390935658196,-1.63366592492875,1,32.6099411280313,1106392.84,"Angophora_floribunda","Angophora floribunda",0.72512,0.72512,"both",-0.643252009684417,-0.848518507301189,-1.11091660549267,-0.643252009684417,-0.848518507301189,4,"Eastern Australian temperate forests","Temperate Broadleaf & Mixed","Temperate"
