SRR,Coverage,Species
SRR18054862,95.5758,Abeliophyllum_distichum
SRR18497216,6.60361,Abeliophyllum_distichum
SRR28361932,109.523,Abeliophyllum_distichum
SAMN18024572,142.144,Acanthochlamys_bracteata
SRR12721038,14.799,Acer_yangbiense
SRR12721039,12.3925,Acer_yangbiense
SRR12721040,38.3194,Acer_yangbiense
SRR12721041,10.0208,Acer_yangbiense
SRR12721042,14.5891,Acer_yangbiense
SRR12721043,17.0062,Acer_yangbiense
SRR12721044,15.7932,Acer_yangbiense
SRR12721045,13.6497,Acer_yangbiense
SRR12721046,13.9209,Acer_yangbiense
SRR12721047,13.5783,Acer_yangbiense
SRR12721048,13.1989,Acer_yangbiense
SRR12721049,7.64304,Acer_yangbiense
SRR12721050,13.2696,Acer_yangbiense
SRR12721051,12.6261,Acer_yangbiense
SRR12721052,12.9826,Acer_yangbiense
SRR12721053,14.1566,Acer_yangbiense
SRR12721054,13.8856,Acer_yangbiense
SRR12721055,13.7304,Acer_yangbiense
SRR12721056,12.2474,Acer_yangbiense
SRR12721057,14.8116,Acer_yangbiense
SRR12721058,12.7381,Acer_yangbiense
SRR12721059,11.5552,Acer_yangbiense
SRR12721060,13.0781,Acer_yangbiense
SRR12721061,10.7486,Acer_yangbiense
SRR12721062,13.2121,Acer_yangbiense
SRR12721063,7.88077,Acer_yangbiense
SRR12721064,13.9754,Acer_yangbiense
SRR12721065,13.7962,Acer_yangbiense
SRR12721066,14.1251,Acer_yangbiense
SRR12721067,13.8599,Acer_yangbiense
SRR12721068,12.6696,Acer_yangbiense
SRR12721069,13.2101,Acer_yangbiense
SRR12721070,13.0322,Acer_yangbiense
SRR12721071,15.4719,Acer_yangbiense
SRR12721072,13.0184,Acer_yangbiense
SRR12721073,14.4102,Acer_yangbiense
SRR12721074,10.0965,Acer_yangbiense
SRR12721075,14.2282,Acer_yangbiense
SRR12721076,13.5306,Acer_yangbiense
SRR12721077,12.9077,Acer_yangbiense
SRR12721078,12.5235,Acer_yangbiense
SRR12721079,11.8373,Acer_yangbiense
SRR12721080,13.1095,Acer_yangbiense
SRR12721081,14.4745,Acer_yangbiense
SRR12721082,13.0586,Acer_yangbiense
SRR12721083,14.9602,Acer_yangbiense
SRR12721084,12.3603,Acer_yangbiense
SRR12721085,11.2235,Acer_yangbiense
SRR12721086,12.5116,Acer_yangbiense
SRR12721087,13.2018,Acer_yangbiense
SRR12721088,14.3079,Acer_yangbiense
SRR12721089,12.855,Acer_yangbiense
SRR12721090,14.3899,Acer_yangbiense
SRR12721091,13.7215,Acer_yangbiense
SRR12721092,14.2677,Acer_yangbiense
SRR12721093,12.7265,Acer_yangbiense
SRR12721094,13.1988,Acer_yangbiense
SRR12721095,13.6431,Acer_yangbiense
SRR12721096,14.6845,Acer_yangbiense
SRR12721097,12.1528,Acer_yangbiense
SRR12721098,13.7648,Acer_yangbiense
SRR12721099,14.4096,Acer_yangbiense
SRR12721100,12.8394,Acer_yangbiense
SRR12721101,12.7913,Acer_yangbiense
SRR12721102,13.5046,Acer_yangbiense
SRR12721103,16.2015,Acer_yangbiense
SRR12721104,12.8435,Acer_yangbiense
SRR12721105,12.4287,Acer_yangbiense
SRR12721106,4.44678,Acer_yangbiense
SRR12721107,11.9438,Acer_yangbiense
SRR12721108,11.9848,Acer_yangbiense
SRR12721109,13.8073,Acer_yangbiense
SRR12721110,11.5173,Acer_yangbiense
SRR12721111,15.2069,Acer_yangbiense
SRR12721112,14.1557,Acer_yangbiense
SRR12721113,12.4544,Acer_yangbiense
SRR12721114,13.5583,Acer_yangbiense
SRR12721115,15.2133,Acer_yangbiense
SRR12721116,13.1716,Acer_yangbiense
SRR12721117,14.4794,Acer_yangbiense
SRR12721118,11.0445,Acer_yangbiense
SRR12721119,15.1904,Acer_yangbiense
SRR12721120,14.1838,Acer_yangbiense
SRR12721121,14.0615,Acer_yangbiense
SRR12721122,14.4482,Acer_yangbiense
SRR12721123,8.81822,Acer_yangbiense
SRR12721124,13.2268,Acer_yangbiense
SRR12721125,12.6941,Acer_yangbiense
SRR12721126,10.9983,Acer_yangbiense
SRR12721127,12.5194,Acer_yangbiense
SRR12721128,10.0891,Acer_yangbiense
SRR12721129,40.2081,Acer_yangbiense
SRR12721130,12.3848,Acer_yangbiense
SRR12721131,8.7971,Acer_yangbiense
SRR12721132,10.5189,Acer_yangbiense
SRR12721133,11.2327,Acer_yangbiense
SRR12721134,10.0112,Acer_yangbiense
SRR12721135,10.5783,Acer_yangbiense
SRR12721136,10.6365,Acer_yangbiense
SRR12721137,8.91578,Acer_yangbiense
SRR12721138,9.00294,Acer_yangbiense
SRR12721139,14.5977,Acer_yangbiense
SRR12721140,9.79953,Acer_yangbiense
SRR12721141,12.4314,Acer_yangbiense
SRR12721142,13.3005,Acer_yangbiense
SRR8707038,117.671,Acer_yangbiense
SRR28509440,31.0329,Adansonia_grandidieri
ERR6184169,6.9995,Aegilops_sharonensis
ERR6184170,5.98796,Aegilops_sharonensis
ERR6184171,6.13222,Aegilops_sharonensis
ERR6184174,6.59499,Aegilops_sharonensis
ERR6184175,6.69422,Aegilops_sharonensis
ERR6184176,6.91458,Aegilops_sharonensis
ERR6184179,6.6114,Aegilops_sharonensis
ERR6184180,7.5887,Aegilops_sharonensis
ERR6184187,5.8686,Aegilops_sharonensis
ERR6184189,5.61128,Aegilops_sharonensis
ERR6184191,5.35669,Aegilops_sharonensis
ERR6184193,4.76174,Aegilops_sharonensis
ERR6184194,6.73233,Aegilops_sharonensis
ERR6184195,6.66433,Aegilops_sharonensis
ERR6184196,6.29868,Aegilops_sharonensis
ERR6184197,6.26974,Aegilops_sharonensis
SAMEA2242590,18.4975,Aegilops_sharonensis
SRR14627574,8.10459,Aegilops_sharonensis
DRR520119,5.35831,Aegle_marmelos
SRR16998512,62.1978,Aegle_marmelos
ERR10116752,11.87,Aesculus_hippocastanum
SAMN50010308,95.2912,Agave_karwinskii
SRR26310427,8.69045,Agave_karwinskii
SRR25700381,7.86129,Agave_potatorum
SRR11565159,68.3255,Amorphophallus_titanum
SRR27782834,32.4395,Aquilaria_malaccensis
SAMN16131995,205.225,Aquilaria_sinensis
SRR10737433,39.5955,Aquilaria_sinensis
SRR24423940,4.18222,Aquilaria_sinensis
SRR24423995,4.43174,Aquilaria_sinensis
SRR24424053,4.35596,Aquilaria_sinensis
SRR24424054,4.15244,Aquilaria_sinensis
SRR24424078,4.14457,Aquilaria_sinensis
SRR24424079,4.03925,Aquilaria_sinensis
SRR24424100,4.21801,Aquilaria_sinensis
SRR24424102,4.23003,Aquilaria_sinensis
SRR24424104,4.36586,Aquilaria_sinensis
SRR24424118,4.02751,Aquilaria_sinensis
SRR24424130,4.22983,Aquilaria_sinensis
SRR24424133,4.20795,Aquilaria_sinensis
SRR24424134,4.18256,Aquilaria_sinensis
SRR24424142,4.55314,Aquilaria_sinensis
SRR24424143,4.32898,Aquilaria_sinensis
SRR24424144,4.28041,Aquilaria_sinensis
SRR24424165,4.182,Aquilaria_sinensis
SRR24424201,56.2546,Aquilaria_sinensis
SRR24424215,22.6869,Aquilaria_sinensis
SRR24424234,4.16648,Aquilaria_sinensis
SRR24424265,4.30912,Aquilaria_sinensis
SRR24424276,4.75714,Aquilaria_sinensis
SRR24424281,4.92014,Aquilaria_sinensis
SRR24424282,4.12831,Aquilaria_sinensis
SRR33513884,67.4455,Aquilaria_sinensis
SRR8892930,97.142,Aquilaria_sinensis
SRR25783949,133.916,Aquilaria_yunnanensis
SRR1945435,12.6033,Arabidopsis_thaliana
SRR1945436,20.9708,Arabidopsis_thaliana
SRR1945437,15.8465,Arabidopsis_thaliana
SRR1945438,18.2309,Arabidopsis_thaliana
SRR1945439,22.9281,Arabidopsis_thaliana
SRR1945440,18.7522,Arabidopsis_thaliana
SRR1945441,23.2406,Arabidopsis_thaliana
SRR1945442,20.8949,Arabidopsis_thaliana
SRR1945443,15.3084,Arabidopsis_thaliana
SRR1945444,17.6181,Arabidopsis_thaliana
SRR1945445,14.9855,Arabidopsis_thaliana
SRR1945446,11.0511,Arabidopsis_thaliana
SRR1945451,38.1204,Arabidopsis_thaliana
SRR1945453,96.6538,Arabidopsis_thaliana
SRR1945454,70.1407,Arabidopsis_thaliana
SRR1945455,55.4625,Arabidopsis_thaliana
SRR1945456,21.4706,Arabidopsis_thaliana
SRR1945457,58.4827,Arabidopsis_thaliana
SRR1945458,38.2603,Arabidopsis_thaliana
SRR1945459,64.0396,Arabidopsis_thaliana
SRR1945460,32.6412,Arabidopsis_thaliana
SRR1945461,23.7287,Arabidopsis_thaliana
SRR1945463,22.3537,Arabidopsis_thaliana
SRR1945464,9.09139,Arabidopsis_thaliana
SRR1945465,11.2937,Arabidopsis_thaliana
SRR1945466,10.3512,Arabidopsis_thaliana
SRR1945467,15.0122,Arabidopsis_thaliana
SRR1945468,15.7305,Arabidopsis_thaliana
SRR1945469,67.3844,Arabidopsis_thaliana
SRR1945470,57.5744,Arabidopsis_thaliana
SRR1945471,36.8544,Arabidopsis_thaliana
SRR1945472,31.0963,Arabidopsis_thaliana
SRR1945473,20.5488,Arabidopsis_thaliana
SRR1945474,10.7171,Arabidopsis_thaliana
SRR1945475,13.9598,Arabidopsis_thaliana
SRR1945476,40.9032,Arabidopsis_thaliana
SRR1945477,16.1197,Arabidopsis_thaliana
SRR1945478,13.9821,Arabidopsis_thaliana
SRR1945479,14.5035,Arabidopsis_thaliana
SRR1945480,46.3858,Arabidopsis_thaliana
SRR1945481,12.0677,Arabidopsis_thaliana
