SRR,Coverage,Species
SRR24323189,45.6504,Acorus_gramineus
SRR24323192,43.4275,Acorus_gramineus
ERR2103731,17.8966,Alnus_glutinosa
ERR6688530,19.0032,Alnus_glutinosa
SRR17214828,16.4263,Alnus_glutinosa
SRR5279623,24.329,Alnus_glutinosa
SRR5279624,24.5968,Alnus_glutinosa
SRR5279625,17.3841,Alnus_glutinosa
SRR5279626,15.5115,Alnus_glutinosa
SRR5282250,13.9114,Alnus_glutinosa
SRR5282253,14.3221,Alnus_glutinosa
SRR5282264,5.08972,Alnus_glutinosa
SRR5282265,4.29978,Alnus_glutinosa
SRR5344573,6.82066,Alnus_glutinosa
SRR25119778,35.2931,Angophora_floribunda
SRR26046576,10.4088,Arachis_ipaensis
SRR8481363,10.4088,Arachis_ipaensis
ERR179410,14.5287,Betula_nana
ERR179412,12.2214,Betula_nana
ERR179413,9.90109,Betula_nana
ERR179414,6.23344,Betula_nana
ERR2026268,16.6029,Betula_nana
SRR23853442,53.4354,Betula_nana
ERR2001938,31.1151,Betula_pendula
ERR2010602,7.33076,Betula_pendula
ERR2010603,7.70786,Betula_pendula
ERR2010616,8.52756,Betula_pendula
ERR2010617,8.60545,Betula_pendula
ERR2010618,7.71126,Betula_pendula
ERR2010622,7.62231,Betula_pendula
ERR2010623,8.43866,Betula_pendula
ERR2010624,7.12776,Betula_pendula
ERR2010625,8.27769,Betula_pendula
ERR2010626,8.20569,Betula_pendula
ERR2010627,9.22714,Betula_pendula
ERR2010639,9.45109,Betula_pendula
ERR2010640,49.919,Betula_pendula
ERR2010641,6.61871,Betula_pendula
ERR2010642,32.6446,Betula_pendula
ERR2010643,8.06238,Betula_pendula
ERR2010644,7.89379,Betula_pendula
ERR2010651,8.53215,Betula_pendula
ERR2010652,8.2781,Betula_pendula
ERR2010653,10.3757,Betula_pendula
ERR2010654,14.9701,Betula_pendula
ERR2010655,6.71623,Betula_pendula
ERR2010656,33.2819,Betula_pendula
ERR2010657,63.9846,Betula_pendula
ERR2010658,39.4931,Betula_pendula
ERR2010659,33.3932,Betula_pendula
ERR2010664,9.4203,Betula_pendula
ERR2010665,8.80864,Betula_pendula
ERR2010666,9.74979,Betula_pendula
ERR2010667,12.6541,Betula_pendula
ERR2010668,9.08673,Betula_pendula
ERR2010687,8.30795,Betula_pendula
ERR2026084,10.6793,Betula_pendula
ERR2026085,9.07556,Betula_pendula
ERR2026086,9.64295,Betula_pendula
ERR2026087,29.7683,Betula_pendula
ERR2026088,12.3826,Betula_pendula
ERR2026089,7.69507,Betula_pendula
ERR2026090,10.3475,Betula_pendula
ERR2026091,8.16214,Betula_pendula
ERR2026092,10.3007,Betula_pendula
ERR2026093,8.96385,Betula_pendula
ERR2026094,11.1543,Betula_pendula
ERR2026095,10.1172,Betula_pendula
ERR2026096,11.2386,Betula_pendula
ERR2026097,8.76632,Betula_pendula
ERR2026098,8.3951,Betula_pendula
ERR2026099,8.74089,Betula_pendula
ERR2026100,10.2189,Betula_pendula
ERR2026101,9.69534,Betula_pendula
ERR2026102,11.7801,Betula_pendula
ERR2026103,8.25633,Betula_pendula
ERR2026104,17.8485,Betula_pendula
ERR2026105,9.07806,Betula_pendula
ERR2026106,8.87213,Betula_pendula
ERR2026107,8.94905,Betula_pendula
ERR2026108,8.12567,Betula_pendula
ERR2026109,10.6883,Betula_pendula
ERR2026110,7.88232,Betula_pendula
ERR2026111,10.1416,Betula_pendula
ERR2026112,9.09351,Betula_pendula
ERR2026113,17.3384,Betula_pendula
ERR2026246,10.0099,Betula_pendula
ERR2026247,9.67575,Betula_pendula
ERR2026248,9.80456,Betula_pendula
ERR2026249,8.04006,Betula_pendula
ERR2026250,10.3264,Betula_pendula
ERR2026251,10.0373,Betula_pendula
ERR2026252,8.48883,Betula_pendula
ERR2026253,8.83741,Betula_pendula
ERR2026254,27.262,Betula_pendula
ERR2026256,29.3352,Betula_pendula
ERR2026257,32.9492,Betula_pendula
ERR2026258,21.1154,Betula_pendula
ERR2026264,25.5964,Betula_pendula
ERR2026265,18.2917,Betula_pendula
ERR2026266,23.1883,Betula_pendula
SRR12432425,9.3551,Betula_pendula
SRR22282021,9.1501,Betula_pendula
ERR11771286,25.887,Brassica_nigra
ERR11771287,21.2345,Brassica_nigra
ERR11771288,26.5883,Brassica_nigra
ERR11771289,31.147,Brassica_nigra
ERR11771290,20.326,Brassica_nigra
SAMEA114072523,20.9261,Brassica_nigra
SAMN03742614,71.9024,Brassica_nigra
SAMN04940011,133.029,Brassica_nigra
SAMN05210941,128.168,Brassica_nigra
SRR11906214,141.668,Brassica_nigra
SRR11963284,12.8339,Brassica_nigra
SRR11963295,19.5934,Brassica_nigra
SRR11963396,19.229,Brassica_nigra
SRR11963507,17.9083,Brassica_nigra
SRR11963610,17.4192,Brassica_nigra
SRR11963611,12.9157,Brassica_nigra
SRR11963622,18.5214,Brassica_nigra
SRR20998126,53.4877,Brassica_nigra
